Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12
DJM Short,TD Paine,KC Sangakkara,GJ Bailey,DT Christian,JW Wells,HP Kingston,CJ Boyce,CA Rose,SCJ Broad,SW Tait,JJ Peirson
GJ Maxwell,LJ Wright,KP Pietersen,DJ Hussey,JP Faulkner,MP Stoinis,SB Harper,A Zampa,BW Hilfenhaus,SM Boland,MA Beer,KR Patterson
DP Hughes,MJ Lumb,NJ Maddinson,MC Henriques,C Munro,BJ Haddin,SA Abbott,J Botha,BJ Dwarshuis,NM Lyon,JM Bird,KR Patterson
RJ Quiney,KP Pietersen,SE Gotch,LJ Wright,MP Stoinis,DJ Hussey,EP Gulbis,BW Hilfenhaus,A Zampa,MA Beer,SM Boland,SD Heazlett
MS Harris,AJ Finch,CL White,TLW Cooper,CJ Ferguson,NLTC Perera,SP Narine,JL Pattinson,NJ Rimmington,GB Hogg,0,BB McCullum
DP Hughes,MJ Lumb,NJ Maddinson,MC Henriques,BJ Haddin,JC Silk,J Botha,SA Abbott,BJ Dwarshuis,NM Lyon,JM Bird,SM Whiteman
C Carter,KD Shah,Nizakat Khan,Babar Hayat,Anshuman Rath,Shahid Wasif,Ehsan Khan,Tanwir Afzal,Aizaz Khan,Nadeem Ahmed,Tanveer Ahmed,TP Ura
TP Ura,VV Morea,L Siaka,A Vala,S Bau,D Bau,MD Dai,H Hiri,JB Reva,CA Soper,N Vanua,JJ Atkinson
TP Ura,VV Morea,L Siaka,A Vala,S Bau,D Bau,MD Dai,CA Soper,H Hiri,N Vanua,JB Reva,C Carter
JJ Roy,SW Billings,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,ST Finn,LE Plunkett,AU Rashid,KC Brathwaite
KC Brathwaite,E Lewis,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,CR Brathwaite,AR Nurse,ST Gabriel,D Bishoo,JJ Roy
JJ Roy,AD Hales,JE Root,JC Buttler,EJG Morgan,BA Stokes,MM Ali,CR Woakes,LE Plunkett,AU Rashid,ST Finn,KOA Powell
EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,NJ O'Brien,GC Wilson,KJ O'Brien,SR Thompson,GH Dockrell,TJ Murtagh,PKD Chase,JJ Roy
JJ Roy,AD Hales,JE Root,EJG Morgan,JM Bairstow,SW Billings,AU Rashid,DJ Willey,MA Wood,JT Ball,LE Plunkett,EC Joyce
JJ Roy,JM Vince,BM Duckett,JM Bairstow,BA Stokes,JC Buttler,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid,Tamim Iqbal
